,forecast_date,time_epoch,time,temp_c,temp_f,is_day,condition_text,condition_icon,condition_code,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
0,2025-06-29,1751144400,2025-06-29 00:00,27.6,81.6,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,10.1,16.2,321,NW,1004.0,29.64,0.0,0.0,47,0,28.0,82.3,27.6,81.6,28.0,82.3,15.1,59.2,0,0,0,0,10.0,6.0,13.8,22.2,0.0
1,2025-06-29,1751148000,2025-06-29 01:00,26.7,80.1,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,8.1,13.0,320,NW,1004.0,29.64,0.0,0.0,49,0,27.3,81.1,26.7,80.1,27.3,81.1,15.3,59.5,0,0,0,0,10.0,6.0,11.3,18.3,0.0
2,2025-06-29,1751151600,2025-06-29 02:00,26.2,79.1,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,7.4,11.9,320,NW,1003.0,29.63,0.0,0.0,52,0,26.9,80.4,26.2,79.1,26.9,80.4,15.4,59.8,0,0,0,0,10.0,6.0,10.4,16.8,0.0
3,2025-06-29,1751155200,2025-06-29 03:00,25.7,78.3,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,7.6,12.2,324,NW,1003.0,29.62,0.0,0.0,53,0,26.6,79.8,25.7,78.3,26.6,79.8,15.5,59.8,0,0,0,0,10.0,6.0,11.0,17.6,0.0
4,2025-06-29,1751158800,2025-06-29 04:00,25.4,77.6,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,6.3,10.1,326,NNW,1003.0,29.62,0.0,0.0,55,0,26.3,79.4,25.4,77.6,26.3,79.4,15.6,60.0,0,0,0,0,10.0,6.0,9.3,15.0,0.0
5,2025-06-29,1751162400,2025-06-29 05:00,25.1,77.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,5.6,9.0,317,NW,1003.0,29.62,0.0,0.0,56,0,26.1,79.1,25.1,77.2,26.1,79.1,15.7,60.3,0,0,0,0,10.0,6.0,8.5,13.6,0.0
6,2025-06-29,1751166000,2025-06-29 06:00,25.6,78.1,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,5.6,9.0,307,NW,1003.0,29.62,0.0,0.0,55,0,26.6,79.8,25.6,78.1,26.6,79.8,15.9,60.6,0,0,0,0,10.0,6.0,7.5,12.1,0.0
7,2025-06-29,1751169600,2025-06-29 07:00,26.8,80.3,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,6.5,10.4,306,NW,1003.0,29.63,0.0,0.0,50,0,27.4,81.4,26.8,80.3,27.4,81.4,15.6,60.0,0,0,0,0,10.0,6.0,7.7,12.5,0.4
8,2025-06-29,1751173200,2025-06-29 08:00,28.5,83.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,6.3,10.1,301,WNW,1003.0,29.63,0.0,0.0,43,0,28.6,83.5,28.5,83.2,28.6,83.5,14.6,58.4,0,0,0,0,10.0,6.0,7.2,11.6,1.4
9,2025-06-29,1751176800,2025-06-29 09:00,30.5,86.9,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,6.0,9.7,296,WNW,1003.0,29.62,0.0,0.0,35,0,30.1,86.2,30.5,86.9,30.1,86.2,13.4,56.1,0,0,0,0,10.0,6.0,7.0,11.2,3.4
10,2025-06-29,1751180400,2025-06-29 10:00,32.8,91.0,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,5.8,9.4,285,WNW,1003.0,29.62,0.0,0.0,28,0,31.8,89.2,32.8,91.0,31.8,89.2,11.8,53.2,0,0,0,0,10.0,6.0,6.7,10.8,6.2
11,2025-06-29,1751184000,2025-06-29 11:00,35.1,95.1,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,7.4,11.9,278,W,1003.0,29.61,0.0,0.0,22,0,33.6,92.5,35.1,95.1,33.6,92.5,9.9,49.9,0,0,0,0,10.0,6.0,8.5,13.7,9.0
12,2025-06-29,1751187600,2025-06-29 12:00,37.2,98.9,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,9.6,15.5,276,W,1002.0,29.59,0.0,0.0,17,0,35.9,96.7,37.2,98.9,35.9,96.7,8.1,46.5,0,0,0,0,10.0,6.0,11.1,17.8,11.0
13,2025-06-29,1751191200,2025-06-29 13:00,33.3,91.9,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,10.7,17.3,276,W,1003.0,29.62,0.0,0.0,39,0,37.7,99.8,38.5,101.2,37.7,99.8,6.7,44.1,0,0,0,0,10.0,6.0,12.3,19.9,11.6
14,2025-06-29,1751194800,2025-06-29 14:00,39.3,102.7,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,11.2,18.0,278,W,1001.0,29.56,0.0,0.0,13,0,38.9,102.0,39.3,102.7,38.9,102.0,5.9,42.7,0,0,0,0,10.0,6.0,12.9,20.7,10.8
15,2025-06-29,1751198400,2025-06-29 15:00,39.6,103.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,12.1,19.4,281,WNW,1000.0,29.54,0.0,0.0,12,3,39.3,102.7,39.6,103.2,39.3,102.7,5.3,41.5,0,0,0,0,10.0,6.0,13.9,22.4,8.5
16,2025-06-29,1751202000,2025-06-29 16:00,39.5,103.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,14.5,23.4,289,WNW,1000.0,29.53,0.0,0.0,12,4,39.3,102.7,39.6,103.2,39.3,102.7,5.4,41.8,0,0,0,0,10.0,6.0,16.7,26.9,5.6
17,2025-06-29,1751205600,2025-06-29 17:00,38.5,101.3,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,20.1,32.4,296,WNW,1000.0,29.53,0.0,0.0,15,4,37.8,100.0,38.5,101.3,37.8,100.0,7.0,44.6,0,0,0,0,10.0,6.0,23.2,37.3,3.0
18,2025-06-29,1751209200,2025-06-29 18:00,36.3,97.3,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,23.0,37.1,302,WNW,1001.0,29.55,0.0,0.0,19,0,34.8,94.6,36.3,97.3,34.8,94.6,9.2,48.5,0,0,0,0,10.0,6.0,26.6,42.7,1.2
19,2025-06-29,1751212800,2025-06-29 19:00,33.7,92.6,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,21.0,33.8,311,NW,1002.0,29.58,0.0,0.0,26,0,32.7,90.8,33.7,92.6,32.7,90.8,11.7,53.0,0,0,0,0,10.0,6.0,26.0,41.9,0.0
20,2025-06-29,1751216400,2025-06-29 20:00,31.2,88.2,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,19.5,31.3,314,NW,1003.0,29.61,0.0,0.0,34,0,30.9,87.6,31.2,88.2,30.9,87.6,13.6,56.4,0,0,0,0,10.0,6.0,23.8,38.4,0.0
21,2025-06-29,1751220000,2025-06-29 21:00,29.3,84.8,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,16.1,25.9,321,NW,1004.0,29.64,0.0,0.0,44,0,29.7,85.5,29.3,84.8,29.7,85.5,15.7,60.3,0,0,0,0,10.0,6.0,19.9,32.1,0.0
22,2025-06-29,1751223600,2025-06-29 22:00,28.3,83.0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,13.2,21.2,328,NNW,1004.0,29.65,0.0,0.0,46,0,28.8,83.8,28.3,83.0,28.8,83.8,15.6,60.2,0,0,0,0,10.0,6.0,16.7,26.8,0.0
23,2025-06-29,1751227200,2025-06-29 23:00,27.5,81.5,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,9.8,15.8,335,NNW,1005.0,29.66,0.0,0.0,48,0,28.0,82.4,27.5,81.5,28.0,82.4,15.6,60.0,0,0,0,0,10.0,6.0,12.8,20.5,0.0
24,2025-06-30,1751230800,2025-06-30 00:00,26.9,80.3,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,7.4,11.9,335,NNW,1004.0,29.66,0.0,0.0,51,0,27.5,81.6,26.9,80.3,27.5,81.6,16.0,60.7,0,0,0,0,10.0,6.0,9.7,15.6,0.0
25,2025-06-30,1751234400,2025-06-30 01:00,26.4,79.5,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,5.8,9.4,326,NNW,1004.0,29.65,0.0,0.0,54,0,27.2,81.0,26.4,79.5,27.2,81.0,16.4,61.4,0,0,0,0,10.0,6.0,7.8,12.5,0.0
26,2025-06-30,1751238000,2025-06-30 02:00,25.9,78.7,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,4.7,7.6,313,NW,1004.0,29.64,0.0,0.0,57,0,26.9,80.5,25.9,78.7,26.9,80.5,16.7,62.0,0,0,0,0,10.0,6.0,6.5,10.4,0.0
27,2025-06-30,1751241600,2025-06-30 03:00,25.6,78.1,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,4.5,7.2,299,WNW,1004.0,29.64,0.0,0.0,59,0,26.8,80.2,25.6,78.1,26.8,80.2,17.1,62.9,0,0,0,0,10.0,6.0,6.3,10.1,0.0
28,2025-06-30,1751245200,2025-06-30 04:00,25.3,77.6,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,4.9,7.9,299,WNW,1004.0,29.64,0.0,0.0,62,0,26.6,79.9,25.3,77.6,26.6,79.9,17.6,63.6,0,0,0,0,10.0,6.0,7.0,11.2,0.0
29,2025-06-30,1751248800,2025-06-30 05:00,24.9,76.9,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,5.1,8.3,291,WNW,1004.0,29.65,0.0,0.0,64,0,26.3,79.4,25.0,76.9,26.3,79.4,17.7,63.9,0,0,0,0,10.0,6.0,7.5,12.1,0.0
30,2025-06-30,1751252400,2025-06-30 06:00,25.4,77.7,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,4.9,7.9,291,WNW,1004.0,29.65,0.0,0.0,62,0,26.6,80.0,25.4,77.7,26.6,80.0,17.6,63.6,0,0,0,0,10.0,6.0,6.5,10.4,0.0
31,2025-06-30,1751256000,2025-06-30 07:00,26.4,79.5,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,5.6,9.0,286,WNW,1005.0,29.67,0.0,0.0,55,0,27.3,81.1,26.4,79.4,27.3,81.1,16.7,62.1,0,0,0,0,10.0,6.0,6.7,10.8,0.4
32,2025-06-30,1751259600,2025-06-30 08:00,27.7,81.9,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,5.4,8.6,289,WNW,1005.0,29.68,0.0,0.0,49,0,28.3,83.0,27.7,81.9,28.3,83.0,16.0,60.7,0,0,0,0,10.0,6.0,6.2,9.9,1.4
33,2025-06-30,1751263200,2025-06-30 09:00,29.5,85.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,6.0,9.7,273,W,1005.0,29.67,0.0,0.0,41,0,29.7,85.4,29.5,85.2,29.7,85.4,14.9,58.8,0,0,0,0,10.0,6.0,7.0,11.2,3.3
34,2025-06-30,1751266800,2025-06-30 10:00,31.7,89.0,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,6.7,10.8,257,WSW,1005.0,29.67,0.0,0.0,34,0,31.4,88.4,31.7,89.0,31.4,88.4,13.7,56.7,0,0,0,0,10.0,6.0,7.7,12.4,6.1
35,2025-06-30,1751270400,2025-06-30 11:00,34.0,93.1,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,8.7,14.0,257,WSW,1004.0,29.66,0.0,0.0,27,0,33.2,91.8,34.0,93.1,33.2,91.8,12.3,54.2,0,0,0,0,10.0,6.0,10.0,16.2,8.8
36,2025-06-30,1751274000,2025-06-30 12:00,36.0,96.8,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,10.3,16.6,259,W,1004.0,29.64,0.0,0.0,22,0,34.9,94.8,36.0,96.8,34.9,94.8,11.2,52.1,0,0,0,0,10.0,6.0,11.8,19.0,10.8
37,2025-06-30,1751277600,2025-06-30 13:00,37.4,99.4,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,11.9,19.1,260,W,1003.0,29.63,0.0,0.0,18,0,36.3,97.4,37.5,99.4,36.3,97.4,9.1,48.4,0,0,0,0,10.0,6.0,13.6,22.0,11.4
38,2025-06-30,1751281200,2025-06-30 14:00,38.4,101.1,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,12.3,19.8,265,W,1003.0,29.61,0.0,0.0,15,0,37.6,99.7,38.4,101.1,37.6,99.7,7.7,45.8,0,0,0,0,10.0,6.0,14.2,22.8,10.5
39,2025-06-30,1751284800,2025-06-30 15:00,38.8,101.9,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,13.2,21.2,266,W,1002.0,29.59,0.0,0.0,15,5,38.2,100.8,38.9,101.9,38.2,100.8,7.4,45.2,0,0,0,0,10.0,6.0,15.2,24.4,8.4
40,2025-06-30,1751288400,2025-06-30 16:00,38.8,101.8,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,13.2,21.2,272,W,1002.0,29.58,0.0,0.0,14,5,38.2,100.7,38.8,101.8,38.2,100.7,6.9,44.3,0,0,0,0,10.0,6.0,15.2,24.4,5.4
41,2025-06-30,1751292000,2025-06-30 17:00,38.5,101.3,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,13.2,21.2,276,W,1001.0,29.57,0.0,0.0,15,6,37.7,99.9,38.5,101.3,37.7,99.9,6.8,44.3,0,0,0,0,10.0,6.0,15.2,24.4,2.9
42,2025-06-30,1751295600,2025-06-30 18:00,37.8,100.1,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,11.6,18.7,283,WNW,1002.0,29.58,0.0,0.0,15,6,36.8,98.3,37.8,100.1,36.8,98.3,6.8,44.3,0,0,0,0,10.0,6.0,14.1,22.8,1.1
43,2025-06-30,1751299200,2025-06-30 19:00,36.4,97.5,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,10.5,16.9,304,NW,1002.0,29.6,0.0,0.0,18,7,34.9,94.8,36.4,97.4,34.9,94.8,8.2,46.8,0,0,0,0,10.0,6.0,14.7,23.7,0.0
44,2025-06-30,1751302800,2025-06-30 20:00,33.5,92.3,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,12.1,19.4,8,N,1003.0,29.63,0.0,0.0,30,7,33.2,91.7,33.5,92.3,33.2,91.7,13.6,56.4,0,0,0,0,10.0,6.0,16.8,27.1,0.0
45,2025-06-30,1751306400,2025-06-30 21:00,29.9,85.8,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,16.3,26.3,45,NE,1005.0,29.67,0.0,0.0,49,4,31.1,88.0,29.9,85.8,31.1,88.0,17.9,64.3,0,0,0,0,10.0,6.0,21.7,35.0,0.0
46,2025-06-30,1751310000,2025-06-30 22:00,29.3,84.7,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,11.4,18.4,41,NE,1005.0,29.68,0.0,0.0,51,0,30.6,87.2,29.3,84.7,30.6,87.2,18.3,64.9,0,0,0,0,10.0,6.0,15.3,24.6,0.0
47,2025-06-30,1751313600,2025-06-30 23:00,28.7,83.7,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,11.4,18.4,53,NE,1005.0,29.67,0.0,0.0,53,0,30.0,86.1,28.7,83.7,30.0,86.1,18.3,65.0,0,0,0,0,10.0,6.0,15.2,24.4,0.0
48,2025-07-01,1751317200,2025-07-01 00:00,28.4,83.2,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,8.5,13.7,50,NE,1005.0,29.67,0.0,0.0,53,0,29.6,85.3,28.4,83.2,29.6,85.3,18.0,64.3,0,0,0,0,10.0,6.0,11.9,19.2,0.0
49,2025-07-01,1751320800,2025-07-01 01:00,28.2,82.8,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,6.5,10.4,49,NE,1005.0,29.66,0.0,0.0,52,0,29.2,84.6,28.2,82.8,29.2,84.6,17.6,63.6,0,0,0,0,10.0,6.0,9.4,15.1,0.0
50,2025-07-01,1751324400,2025-07-01 02:00,28.1,82.6,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,6.0,9.7,41,NE,1005.0,29.66,0.0,0.0,52,0,29.0,84.3,28.1,82.6,29.0,84.3,17.2,63.0,0,0,0,0,10.0,6.0,9.0,14.5,0.0
51,2025-07-01,1751328000,2025-07-01 03:00,27.9,82.2,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,6.3,10.1,28,NNE,1004.0,29.66,0.0,0.0,51,0,28.7,83.7,27.9,82.2,28.7,83.7,16.9,62.4,0,0,0,0,10.0,6.0,9.6,15.4,0.0
52,2025-07-01,1751331600,2025-07-01 04:00,27.6,81.7,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,6.3,10.1,9,N,1005.0,29.66,0.0,0.0,52,3,28.5,83.2,27.6,81.7,28.5,83.2,17.0,62.6,0,0,0,0,10.0,6.0,9.4,15.2,0.0
53,2025-07-01,1751335200,2025-07-01 05:00,27.2,80.9,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,6.3,10.1,0,N,1005.0,29.68,0.0,0.0,55,4,28.2,82.7,27.2,80.9,28.2,82.7,17.3,63.2,0,0,0,0,10.0,6.0,9.4,15.2,0.0
54,2025-07-01,1751338800,2025-07-01 06:00,27.5,81.5,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,6.9,11.2,0,N,1005.0,29.69,0.0,0.0,55,4,28.5,83.4,27.5,81.5,28.5,83.4,17.6,63.7,0,0,0,0,10.0,6.0,9.3,15.0,0.0
55,2025-07-01,1751342400,2025-07-01 07:00,28.5,83.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,7.2,11.5,7,N,1006.0,29.7,0.0,0.0,51,5,29.4,84.9,28.5,83.2,29.4,84.9,17.3,63.2,0,0,0,0,10.0,6.0,8.5,13.8,0.3
56,2025-07-01,1751346000,2025-07-01 08:00,29.8,85.7,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,6.9,11.2,4,N,1006.0,29.7,0.0,0.0,46,5,30.7,87.2,29.8,85.7,30.7,87.2,16.9,62.4,0,0,0,0,10.0,6.0,8.0,12.9,1.2
57,2025-07-01,1751349600,2025-07-01 09:00,31.3,88.3,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,6.3,10.1,4,N,1006.0,29.71,0.0,0.0,41,5,31.9,89.5,31.3,88.3,31.9,89.5,16.3,61.4,0,0,0,0,10.0,6.0,7.2,11.6,3.1
58,2025-07-01,1751353200,2025-07-01 10:00,32.5,90.6,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,4.3,6.8,4,N,1006.0,29.71,0.0,0.0,37,4,33.1,91.5,32.5,90.6,33.1,91.5,15.8,60.4,0,0,0,0,10.0,6.0,4.9,7.9,5.5
59,2025-07-01,1751356800,2025-07-01 11:00,33.9,93.0,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,1.8,2.9,313,NW,1006.0,29.7,0.0,0.0,33,3,34.2,93.6,33.9,93.0,34.2,93.6,15.2,59.3,0,0,0,0,10.0,6.0,2.1,3.3,8.1
60,2025-07-01,1751360400,2025-07-01 12:00,35.5,95.9,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,2.5,4.0,248,WSW,1005.0,29.68,0.0,0.0,27,4,35.3,95.6,35.5,95.9,35.3,95.6,13.7,56.6,0,0,0,0,10.0,6.0,2.8,4.6,10.1
61,2025-07-01,1751364000,2025-07-01 13:00,37.0,98.6,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,3.8,6.1,251,WSW,1004.0,29.66,0.0,0.0,21,3,36.1,96.9,37.0,98.6,36.1,96.9,11.4,52.5,0,0,0,0,10.0,6.0,4.4,7.1,10.6
62,2025-07-01,1751367600,2025-07-01 14:00,38.4,101.1,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,8.1,13.0,261,W,1004.0,29.64,0.0,0.0,18,7,37.6,99.7,38.4,101.1,37.6,99.7,9.6,49.2,0,0,0,0,10.0,6.0,9.3,14.9,9.8
63,2025-07-01,1751371200,2025-07-01 15:00,38.9,102.0,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,8.9,14.4,269,W,1004.0,29.63,0.0,0.0,16,7,38.3,100.9,38.9,102.0,38.3,100.9,8.2,46.8,0,0,0,0,10.0,6.0,10.3,16.6,7.7
64,2025-07-01,1751374800,2025-07-01 16:00,39.2,102.6,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,10.1,16.2,284,WNW,1003.0,29.63,0.0,0.0,14,5,38.8,101.9,39.3,102.7,38.8,101.9,6.5,43.7,0,0,0,0,10.0,6.0,11.6,18.6,5.2
65,2025-07-01,1751378400,2025-07-01 17:00,39.0,102.3,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,13.9,22.3,287,WNW,1003.0,29.63,0.0,0.0,13,4,38.5,101.3,39.0,102.3,38.5,101.3,5.2,41.4,0,0,0,0,10.0,6.0,15.9,25.7,2.7
66,2025-07-01,1751382000,2025-07-01 18:00,37.8,100.0,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,13.0,20.9,312,NW,1004.0,29.65,0.0,0.0,16,4,36.8,98.2,37.8,100.0,36.8,98.2,7.6,45.6,0,0,0,0,10.0,6.0,15.2,24.5,1.0
67,2025-07-01,1751385600,2025-07-01 19:00,34.1,93.4,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,20.8,33.5,7,N,1005.0,29.68,0.0,0.0,29,4,33.8,92.8,34.1,93.5,33.8,92.8,13.3,56.0,0,0,0,0,10.0,6.0,26.6,42.8,0.0
68,2025-07-01,1751389200,2025-07-01 20:00,32.1,89.8,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,16.8,27.0,8,N,1006.0,29.72,0.0,0.0,33,4,31.9,89.5,32.1,89.8,31.9,89.5,14.0,57.2,0,0,0,0,10.0,6.0,21.9,35.3,0.0
69,2025-07-01,1751392800,2025-07-01 21:00,31.1,88.1,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,14.5,23.4,20,NNE,1007.0,29.75,0.0,0.0,36,2,31.0,87.7,31.1,88.1,31.0,87.7,14.1,57.4,0,0,0,0,10.0,6.0,18.1,29.1,0.0
70,2025-07-01,1751396400,2025-07-01 22:00,30.1,86.3,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,14.8,23.8,31,NNE,1008.0,29.75,0.0,0.0,38,0,30.1,86.2,30.1,86.3,30.1,86.2,14.4,58.0,0,0,0,0,10.0,6.0,18.6,29.9,0.0
71,2025-07-01,1751400000,2025-07-01 23:00,29.4,84.9,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,14.5,23.4,33,NNE,1007.0,29.74,0.0,0.0,41,0,29.5,85.0,29.4,84.9,29.5,85.0,14.8,58.6,0,0,0,0,10.0,6.0,18.9,30.3,0.0
